;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
Jan;0;3,48387517398082;7,89322519966418;13,5019177684577;17,7138528042307;21,8280198373879;25,9065749837135;26,9204690961447;22,4511370468341;15,2092970093988;8,56464383216893;2,82276829442293
Feb;3,48387517398082;0;4,82348632369291;10,6872981327212;15,1412244025809;19,3029998647634;23,4915830840058;24,5431413075135;20,1346077899504;12,9244113807854;6,33746298294667;1,77080656236508
Mar;7,89322519966418;4,82348632369291;0;6,1286729161557;10,7838892507471;14,9268186947935;19,2733390853739;20,3910347979775;16,0201633673475;8,83919658240887;3,29222425344561;5,26586483834891
Apr;13,5019177684577;10,6872981327212;6,1286729161557;0;4,87493116136425;9,01176262944686;13,7226667531024;14,8263221354206;10,5353778802238;3,81473171026346;5,26017289150264;10,7547101295449
May;17,7138528042307;15,1412244025809;10,7838892507471;4,87493116136425;0;4,22242448847457;9,2348290449942;10,2976512396407;6,22702347227683;3,15773262183089;9,30688410079803;15,0107475872128
Jun;21,8280198373879;19,3029998647634;14,9268186947935;9,01176262944686;4,22242448847457;0;5,67079935852895;6,68674246750168;3,95375519105486;6,89315972699786;13,4553093232292;19,1487963903312
Jul;25,9065749837135;23,4915830840058;19,2733390853739;13,7226667531024;9,2348290449942;5,67079935852895;0;1,76266196017666;4,1011356180016;11,2232370206677;17,7810540811531;23,260707997737
Aug;26,9204690961447;24,5431413075135;20,3910347979775;14,8263221354206;10,2976512396407;6,68674246750168;1,76266196017666;0;4,76043233174807;12,2561487571648;18,8160142619456;24,273261575289
Sep;22,4511370468341;20,1346077899504;16,0201633673475;10,5353778802238;6,22702347227683;3,95375519105486;4,1011356180016;4,76043233174807;0;7,70405131098796;14,2721826443422;19,7843994643483
Oct;15,2092970093988;12,9244113807854;8,83919658240887;3,81473171026346;3,15773262183089;6,89315972699786;11,2232370206677;12,2561487571648;7,70405131098796;0;6,78744606826248;12,5452780885783
Nov;8,56464383216893;6,33746298294667;3,29222425344561;5,26017289150264;9,30688410079803;13,4553093232292;17,7810540811531;18,8160142619456;14,2721826443422;6,78744606826248;0;5,88388721403476
Dec;2,82276829442293;1,77080656236508;5,26586483834891;10,7547101295449;15,0107475872128;19,1487963903312;23,260707997737;24,273261575289;19,7843994643483;12,5452780885783;5,88388721403476;0
